id,lon,lat
ElMonte,-118.02,34.07
Greeley,-104.76,40.41
Sparks,-119.73,39.55
Centennial,-104.86,39.59
Boulder,-105.25,40.02
SandySprings,-84.36,33.93
Inglewood,-118.34,33.95
Edison,-74.41,40.52
SouthFulton,-84.67,33.59
GreenBay,-87.98,44.52
Burbank,-118.32,34.19
Renton,-122.19,47.47
Hillsboro,-122.93,45.52
ElCajon,-116.96,32.8
Tyler,-95.3,32.31
Davie[ac],-80.28,26.07
SanMateo,-122.31,37.56
Brockton,-71.02,42.08
Concord,-80.6,35.4
JurupaValley,-117.46,34
DalyCity,-122.46,37.7
Allen,-96.66,33.09
RioRancho,-106.67,35.29
Rialto,-117.38,34.11
Woodbridge,-74.28,40.56
SouthBend,-86.26,41.67
SpokaneValley,-117.23,47.67
Norwalk,-118.08,33.9
Menifee,-117.19,33.69
Vacaville,-121.97,38.35
WichitaFalls,-98.52,33.9
Davenport,-90.6,41.55
Quincy,-71,42.25
Chico,-121.83,39.74
Lynn,-70.95,42.47
Lee'sSummit,-94.37,38.92
NewBedford,-70.93,41.64
FederalWay,-122.35,47.32
Clinton,-82.92,42.59
Edinburg,-98.16,26.3
Nampa,-116.56,43.57
Roanoke[m],-79.93,37.27
